iter	Passed	Remaining
0	1	109
1	1	97
2	2	93
3	3	89
4	4	88
5	5	86
6	6	84
7	7	83
8	8	82
9	9	81
10	9	79
11	10	79
12	11	78
13	12	76
14	13	75
15	14	74
16	15	73
17	15	72
18	16	71
19	17	71
20	18	70
21	19	68
22	20	67
23	21	66
24	22	66
25	22	65
26	23	64
27	24	63
28	25	62
29	26	61
30	27	60
31	28	59
32	28	58
33	29	57
34	30	57
35	31	56
36	32	55
37	33	54
38	34	53
39	35	52
40	36	52
41	36	50
42	37	49
43	38	48
44	39	47
45	39	46
46	40	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	46	40
53	47	40
54	47	38
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	53	33
61	54	33
62	54	32
63	55	31
64	56	30
65	57	29
66	58	28
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	63	23
73	64	22
74	65	21
75	66	21
76	67	20
77	68	19
78	69	18
79	69	17
80	70	16
81	71	15
82	72	14
83	73	14
84	74	13
85	75	12
86	76	11
87	77	10
88	78	9
89	78	8
90	79	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	85	1
98	86	0
99	87	0
